iter	Logloss
0	0.6524208975
1	0.621311419
2	0.5922961442
3	0.5658834352
4	0.5423456732
5	0.5180857298
6	0.4986798021
7	0.4802832327
8	0.4619128361
9	0.4465201706
10	0.4341691872
11	0.4204912161
12	0.4147381666
13	0.4094292891
14	0.399666433
15	0.3902803867
16	0.3851969851
17	0.3768977876
18	0.3694313691
19	0.3634010692
20	0.3606454154
21	0.3541986545
22	0.348926855
23	0.3446294265
24	0.3418920104
25	0.3399612986
26	0.3349451004
27	0.3306179518
28	0.3291438183
29	0.3269721318
30	0.3236355493
31	0.3224322305
32	0.3190290683
33	0.3177284587
34	0.3165302208
35	0.3155917348
36	0.3129865369
37	0.310286485
38	0.3092554111
39	0.3083286311
40	0.307194835
41	0.3062649307
42	0.304558291
43	0.3024968044
44	0.3015576808
45	0.30011308
46	0.299360437
47	0.2987772836
48	0.2974123097
49	0.2970507108
50	0.296648413
51	0.2963295007
52	0.2951767197
53	0.2948995254
54	0.2942522753
55	0.2930040369
56	0.2916253572
57	0.2914196267
58	0.2903750313
59	0.2892542011
60	0.2890901175
61	0.2884045585
62	0.2879018199
63	0.2875731159
64	0.287138599
65	0.2868299518
66	0.286487434
67	0.2863801454
68	0.2854815559
69	0.2850741335
70	0.2845992577
71	0.2845180903
72	0.2843458859
73	0.2841173934
74	0.2835268293
75	0.2828141804
76	0.282316089
77	0.2817314496
78	0.2812313976
79	0.2809264559
80	0.2805885222
81	0.2802497313
82	0.2799479949
83	0.2796433139
84	0.2793850366
85	0.2793550373
86	0.2790562471
87	0.2784390252
88	0.2782278871
89	0.2777725662
90	0.2777522681
91	0.2772870571
92	0.2770085211
93	0.276686022
94	0.2762941618
95	0.2759438341
96	0.2755954469
97	0.2752193253
98	0.2749724944
99	0.2746305316
100	0.2744558125
101	0.2744480258
102	0.2741064158
103	0.2739197369
104	0.273719909
105	0.2737141983
106	0.2733717449
107	0.2732063736
108	0.2730125511
109	0.2727967331
110	0.2726424898
111	0.2724859069
112	0.2724826462
113	0.2723483098
114	0.2723454225
115	0.2723009363
116	0.2721180411
117	0.2721063488
118	0.2717677585
119	0.2715025176
120	0.2714292484
121	0.271186999
122	0.2710761949
123	0.2709850222
124	0.2708737529
125	0.2707887797
126	0.2707083456
127	0.2705361224
128	0.2702927577
129	0.270151458
130	0.2700446502
131	0.2698715332
132	0.2696688316
133	0.2695614683
134	0.26940618
135	0.2691770383
136	0.2690336255
137	0.2689119715
138	0.2686721867
139	0.2685135567
140	0.2683471108
141	0.2682920012
142	0.2681570855
143	0.2680792477
144	0.2678194782
145	0.2676653521
146	0.2675753482
147	0.2674375605
148	0.2673501272
149	0.2672325159
150	0.2671422803
151	0.266961728
152	0.26688849
153	0.2667337157
154	0.2665898336
155	0.2664395719
156	0.2662418057
157	0.2662352547
158	0.2661394873
159	0.2660272892
160	0.2659381552
161	0.2658016337
162	0.2657636159
163	0.265720425
164	0.2656059424
165	0.2655845185
166	0.2654737079
167	0.2653866914
168	0.2653704503
169	0.2651567213
170	0.2650380209
171	0.2649260541
172	0.2647969772
173	0.2646679654
174	0.2645216628
175	0.2643906835
176	0.2643332432
177	0.2642499553
178	0.2641024695
179	0.2639986017
180	0.2638472182
181	0.263840014
182	0.2637431252
183	0.2636109262
184	0.2635468819
185	0.2634676232
186	0.2634578209
187	0.263388034
188	0.2632764074
189	0.2631130387
190	0.2630213022
191	0.2629239564
192	0.262841984
193	0.2628275142
194	0.2627401333
195	0.2626032788
196	0.2624953503
197	0.2624856315
198	0.2623859287
199	0.2623650497
200	0.2623058499
201	0.2622658671
202	0.2622387557
203	0.2621469284
204	0.262146841
205	0.2621251454
206	0.2620395922
207	0.2619121647
208	0.2618648495
209	0.261792395
210	0.2617517034
211	0.2616621714
212	0.2615454955
213	0.2614460924
214	0.2613549749
215	0.2612571026
216	0.2612395088
217	0.2611787908
218	0.2610758246
219	0.2610326493
220	0.2608617464
221	0.2607375058
222	0.26071054
223	0.2606296173
224	0.2605617244
225	0.2604187048
226	0.2603375463
227	0.2602195213
228	0.2601361997
229	0.2601073361
230	0.2600522419
231	0.2599351136
232	0.2598601833
233	0.2597789239
234	0.2596945
235	0.2595643392
236	0.2594932524
237	0.2592684399
238	0.259164768
239	0.2590969405
240	0.2589705154
241	0.2588965214
242	0.258889025
243	0.258801667
244	0.2587655246
245	0.2587113517
246	0.2586797789
247	0.2585994336
248	0.2585633734
249	0.258496142
250	0.2584699784
251	0.2584020035
252	0.2583267493
253	0.2583172571
254	0.2582625184
255	0.2581789532
256	0.2581497182
257	0.2579846256
258	0.2579551783
259	0.2579060991
260	0.2578443099
261	0.2577680871
262	0.2576841142
263	0.2576338758
264	0.2575251189
265	0.2575089677
266	0.2575002595
267	0.2574289484
268	0.2573310769
269	0.2572342932
270	0.2571223508
271	0.2570253897
272	0.2569352148
273	0.2568087914
274	0.2567509548
275	0.2566078493
276	0.2565358429
277	0.2564808437
278	0.2563612204
279	0.2563014465
280	0.2561652575
281	0.256084327
282	0.2560594743
283	0.2560511098
284	0.2559997495
285	0.25595492
286	0.2559004769
287	0.2558997141
288	0.2558102224
289	0.2557807725
290	0.2557391004
291	0.2556809075
292	0.2555953173
293	0.255519699
294	0.2555171966
295	0.2554233176
296	0.2553599027
297	0.2552191147
298	0.2551171629
299	0.2550665169
300	0.2549623378
301	0.2548325424
302	0.2547487283
303	0.2546397045
304	0.2544892025
305	0.2543945505
306	0.2543086626
307	0.2542510093
308	0.2541761112
309	0.2541123758
310	0.2540252225
311	0.253975548
312	0.25385871
313	0.2538173666
314	0.2537552869
315	0.2536770088
316	0.253632948
317	0.2535237375
318	0.253523625
319	0.2534618194
320	0.2533905065
321	0.253283326
322	0.253208871
323	0.2531464611
324	0.2530652006
325	0.2529327315
326	0.2528284737
327	0.2527685092
328	0.2526981838
329	0.2526587778
330	0.252561809
331	0.2524847077
332	0.252414921
333	0.2523242722
334	0.2522025476
335	0.2521329641
336	0.2519915811
337	0.2518927174
338	0.251808706
339	0.2518040544
340	0.2517013784
341	0.2516273998
342	0.2515457257
343	0.2514779587
344	0.2514468704
345	0.2513843649
346	0.2513792972
347	0.2512813212
348	0.251239134
349	0.2511420531
350	0.251050712
351	0.2509018121
352	0.250882885
353	0.2507963712
354	0.2507359409
355	0.2506320348
356	0.2505127767
357	0.2504752501
358	0.2504683473
359	0.2503616773
360	0.2502870042
361	0.2502363851
362	0.2501616051
363	0.2500609489
364	0.2499714689
365	0.2499287003
366	0.2498400981
367	0.2497559903
368	0.2496597675
369	0.2495831742
370	0.2495604094
371	0.2495214538
372	0.2494233375
373	0.2493166113
374	0.249206781
375	0.2491620778
376	0.2490647403
377	0.2489885964
378	0.2488080633
379	0.2487249409
380	0.2486453639
381	0.2485487384
382	0.2484288157
383	0.2483957304
384	0.2483653812
385	0.2483087626
386	0.2482271449
387	0.2481967471
388	0.2481474984
389	0.2481141321
390	0.2480548647
391	0.2479522614
392	0.2478697179
393	0.2477820008
394	0.2477151395
395	0.2475473794
396	0.2474844192
397	0.2474391707
398	0.2473739388
399	0.2472953414
400	0.2471913559
401	0.2471510518
402	0.2470622272
403	0.2469520732
404	0.2468562659
405	0.2467833148
406	0.2466655574
407	0.2466013869
408	0.2464610248
409	0.2463440714
410	0.2462839878
411	0.2461140221
412	0.2460751456
413	0.2459643059
414	0.2458364517
415	0.2457544562
416	0.245723238
417	0.2456210356
418	0.2455177859
419	0.2454568653
420	0.245301497
421	0.245219498
422	0.2451368594
423	0.2450796314
424	0.2450224111
425	0.2449275841
426	0.2448175891
427	0.2447794334
428	0.2447303853
429	0.2445739676
430	0.2444929585
431	0.2444789813
432	0.2443953129
433	0.2442883735
434	0.2441612705
435	0.2440616783
436	0.2439739099
437	0.2438551814
438	0.2437694453
439	0.2436506312
440	0.2435826335
441	0.2435442156
442	0.2434412247
443	0.2433729264
444	0.2432728435
445	0.2431791089
446	0.2431139589
447	0.2429924941
448	0.2428844958
449	0.2427866199
450	0.2426719872
451	0.2426274683
452	0.2425321354
453	0.2424801175
454	0.2423321538
455	0.2422229875
456	0.2421231423
457	0.2420799898
458	0.242042844
459	0.2419863289
460	0.2419326049
461	0.2417848411
462	0.2417590978
463	0.2416650321
464	0.2416404831
465	0.2415348993
466	0.241455379
467	0.2413117125
468	0.2412076189
469	0.2411011075
470	0.2410426063
471	0.2409245724
472	0.2408220866
473	0.2407964202
474	0.2407072749
475	0.2406531281
476	0.240568272
477	0.2404325207
478	0.2403427373
479	0.240282086
480	0.2402210831
481	0.2401113285
482	0.2399629816
483	0.2398798617
484	0.2398682327
485	0.2397715356
486	0.239623008
487	0.2395248597
488	0.2394425104
489	0.2393797299
490	0.2392910409
491	0.2392247686
492	0.2391350056
493	0.2390065621
494	0.2389139998
495	0.2388413121
496	0.2387518706
497	0.2386626548
498	0.2385945646
499	0.2385547265
500	0.2384713021
501	0.2383919062
