iter	Passed	Remaining
647	2019	1097
648	2022	1093
649	2025	1090
650	2028	1087
651	2031	1084
652	2033	1080
653	2036	1077
654	2039	1074
655	2042	1071
656	2045	1068
657	2048	1064
658	2051	1061
659	2054	1058
660	2057	1055
661	2060	1052
662	2063	1048
663	2066	1045
664	2069	1042
665	2072	1039
666	2075	1036
667	2078	1032
668	2080	1029
669	2083	1026
670	2086	1023
671	2089	1020
672	2092	1016
673	2095	1013
674	2098	1010
675	2101	1007
676	2104	1004
677	2107	1001
678	2110	997
679	2113	994
680	2116	991
681	2118	988
682	2121	984
683	2124	981
684	2127	978
685	2130	975
686	2134	972
687	2137	969
688	2139	965
689	2142	962
690	2145	959
691	2148	956
692	2151	953
693	2155	950
694	2157	946
695	2160	943
696	2163	940
697	2166	937
698	2169	934
699	2171	930
700	2175	927
701	2177	924
702	2181	921
703	2184	918
704	2187	915
705	2190	912
706	2194	909
707	2196	906
708	2200	902
709	2203	900
710	2207	897
711	2210	893
712	2213	890
713	2215	887
714	2218	884
715	2222	881
716	2225	878
717	2228	875
718	2231	872
719	2234	869
720	2237	865
721	2240	862
722	2243	859
723	2246	856
724	2249	853
725	2252	850
726	2256	847
727	2258	843
728	2261	840
729	2264	837
730	2267	834
731	2270	831
732	2274	828
733	2277	825
734	2280	822
735	2283	819
736	2286	815
737	2289	812
738	2293	809
739	2296	806
740	2300	803
741	2303	800
742	2308	798
743	2312	795
744	2316	792
745	2319	789
746	2324	787
747	2328	784
748	2332	781
749	2335	778
750	2340	775
751	2344	773
752	2347	769
753	2350	766
754	2354	763
755	2357	760
756	2360	757
757	2363	754
758	2366	751
759	2370	748
760	2373	745
761	2375	742
762	2379	738
763	2382	735
764	2385	732
765	2388	729
766	2391	726
767	2394	723
768	2397	720
769	2400	716
770	2403	713
771	2406	710
772	2409	707
773	2412	704
774	2415	701
775	2419	698
776	2422	695
777	2425	692
778	2428	688
779	2431	685
780	2434	682
781	2437	679
782	2440	676
783	2443	673
784	2446	670
785	2449	666
786	2452	663
787	2456	660
788	2459	657
789	2462	654
790	2465	651
791	2468	648
792	2471	645
793	2474	641
794	2477	638
795	2480	635
796	2482	632
797	2486	629
798	2489	626
799	2492	623
800	2495	619
801	2498	616
802	2502	614
803	2505	610
804	2508	607
805	2512	604
806	2514	601
807	2518	598
808	2521	595
809	2524	592
810	2527	589
811	2530	585
812	2533	582
813	2537	579
814	2539	576
815	2542	573
816	2545	570
817	2549	567
818	2551	563
819	2554	560
820	2558	557
821	2561	554
822	2564	551
823	2567	548
824	2570	545
825	2573	542
826	2576	539
827	2579	535
828	2583	532
829	2586	529
830	2589	526
831	2592	523
832	2595	520
833	2598	517
834	2601	514
835	2604	510
836	2607	507
837	2610	504
838	2614	501
839	2617	498
840	2620	495
841	2622	492
842	2626	489
843	2629	485
844	2632	482
845	2635	479
846	2638	476
847	2641	473
848	2644	470
849	2647	467
850	2650	463
851	2653	460
852	2656	457
853	2659	454
854	2662	451
855	2665	448
856	2669	445
857	2672	442
858	2675	439
859	2678	435
860	2681	432
861	2684	429
862	2687	426
863	2690	423
864	2693	420
865	2696	417
866	2699	414
867	2701	410
868	2704	407
869	2707	404
870	2710	401
871	2713	398
872	2716	395
873	2719	392
874	2722	388
875	2725	385
876	2728	382
877	2731	379
878	2734	376
879	2737	373
880	2740	370
881	2744	367
882	2747	364
883	2750	360
884	2753	357
885	2756	354
886	2759	351
887	2762	348
888	2765	345
889	2769	342
890	2772	339
891	2775	335
892	2777	332
893	2781	329
894	2784	326
895	2788	323
896	2791	320
897	2795	317
898	2799	314
899	2803	311
900	2807	308
901	2810	305
902	2814	302
903	2818	299
904	2822	296
905	2826	293
906	2830	290
907	2834	287
908	2838	284
909	2841	281
910	2844	277
911	2848	274
912	2851	271
913	2854	268
914	2857	265
915	2860	262
916	2864	259
917	2867	256
918	2870	253
919	2873	249
920	2876	246
921	2879	243
922	2882	240
923	2885	237
924	2888	234
925	2891	231
926	2894	227
927	2897	224
928	2901	221
929	2904	218
930	2907	215
931	2910	212
932	2913	209
933	2916	206
934	2919	202
935	2923	199
936	2926	196
937	2929	193
938	2933	190
939	2936	187
940	2938	184
941	2942	181
942	2945	178
943	2948	174
944	2951	171
945	2953	168
946	2956	165
947	2959	162
948	2963	159
949	2966	156
950	2969	152
951	2972	149
952	2975	146
953	2977	143
954	2981	140
955	2984	137
956	2986	134
957	2989	131
958	2992	127
959	2996	124
960	2999	121
961	3002	118
962	3005	115
963	3008	112
964	3011	109
965	3014	106
966	3017	102
967	3020	99
968	3023	96
969	3026	93
970	3029	90
971	3032	87
972	3035	84
973	3038	81
974	3041	77
975	3045	74
976	3048	71
977	3051	68
978	3054	65
979	3057	62
980	3061	59
981	3064	56
982	3067	53
983	3070	49
984	3073	46
985	3076	43
986	3079	40
987	3082	37
988	3085	34
989	3088	31
990	3091	28
991	3094	24
992	3097	21
993	3101	18
994	3103	15
995	3106	12
996	3110	9
997	3113	6
998	3116	3
999	3119	0
